,datetime,tempmin,temp,tempmax
0,2023-09-18,16.9,18.2,19.3
1,2023-09-19,16.1,19.4,22.8
2,2023-09-20,15.0,18.5,22.3
3,2023-09-21,12.8,16.3,19.5
4,2023-09-22,13.2,17.0,21.3
5,2023-09-23,14.0,16.1,17.9
6,2023-09-24,16.0,17.3,19.0
7,2023-09-25,15.4,17.8,20.5
