,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-09-13,23.9,19.9,21.7,23.9,19.9,21.7,19.8,89.0,18.408,100,41.67,rain,0,0,29.5,20.2,174.4,1013.8,89.0,13.7,113.8,9.7,5,10,2023-09-13T06:21:47,2023-09-13T18:57:57,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-09-14,22.8,18.9,20.7,22.8,18.9,20.7,15.5,73.4,6.1,19,8.33,rain,0,0,24.1,14.8,304.6,1015.7,50.3,13.9,246.3,21.2,8,10,2023-09-14T06:22:50,2023-09-14T18:56:11,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Boston, MA, United States",2023-09-15,18.9,15.6,17.5,18.9,15.6,17.5,11.5,68.3,0.3,18,4.17,rain,0,0,44.6,30.2,5.9,1016.6,67.3,16.3,185.9,16.1,6,10,2023-09-15T06:23:54,2023-09-15T18:54:25,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Boston, MA, United States",2023-09-16,18.9,15.9,17.5,18.9,15.9,17.5,12.4,72.0,5.1,55,16.67,rain,0,0,76.3,50.4,317.9,1002.5,79.5,17.3,23.4,1.9,1,10,2023-09-16T06:24:57,2023-09-16T18:52:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
4,"Boston, MA, United States",2023-09-17,24.8,16.6,20.3,24.8,16.6,20.3,12.4,61.0,0.3,37,4.17,rain,0,0,59.4,39.2,274.9,1008.7,25.0,24.1,253.6,22.0,6,10,2023-09-17T06:26:01,2023-09-17T18:50:53,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
5,"Boston, MA, United States",2023-09-18,23.6,16.7,19.9,23.6,16.7,19.9,14.5,71.5,0.9,20,12.5,rain,0,0,30.6,20.5,243.5,1010.6,38.8,22.5,143.4,12.1,5,10,2023-09-18T06:27:04,2023-09-18T18:49:07,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Boston, MA, United States",2023-09-19,22.6,15.2,18.6,22.6,15.2,18.6,13.0,70.9,0.9,20,12.5,rain,0,0,27.4,17.6,296.2,1015.6,23.0,23.2,250.9,21.9,6,10,2023-09-19T06:28:08,2023-09-19T18:47:21,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2023-09-20,21.4,14.1,17.7,21.4,14.1,17.7,12.8,73.5,0.0,11,0.0,,0,0,23.8,16.2,16.5,1024.2,28.9,24.1,245.6,21.1,6,10,2023-09-20T06:29:12,2023-09-20T18:45:34,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
