,datetime,description,icon
0,2023-09-13,Partly cloudy throughout the day with rain.,rain
1,2023-09-14,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-09-15,Partly cloudy throughout the day.,partly-cloudy-day
3,2023-09-16,Partly cloudy throughout the day with morning rain.,rain
4,2023-09-17,Partly cloudy throughout the day.,partly-cloudy-day
5,2023-09-18,Partly cloudy throughout the day.,partly-cloudy-day
6,2023-09-19,Partly cloudy throughout the day.,partly-cloudy-day
7,2023-09-20,Partly cloudy throughout the day.,partly-cloudy-day
