,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-20 04:00:00-04:00,330.06,331.99,330.06,331.98,0,0,0
2023-10-20 05:00:00-04:00,331.55,332.35,330.81,330.83,0,0,0
2023-10-20 06:00:00-04:00,330.77,331.46,330.4,330.5,0,0,0
2023-10-20 07:00:00-04:00,330.5,331.31,330.25,331.12,0,0,0
2023-10-20 08:00:00-04:00,331.2,331.74,329.45,330.47,0,0,0
2023-10-20 09:00:00-04:00,330.4,331.27,330.4,330.9,0,0,0
2023-10-20 09:30:00-04:00,331.7200012207031,331.9200134277344,328.25,328.3299865722656,6346380,0,0
2023-10-20 10:30:00-04:00,328.32000732421875,328.3999938964844,325.45001220703125,326.3900146484375,3413457,0,0
2023-10-20 11:30:00-04:00,326.4100036621094,327.6000061035156,325.8900146484375,326.8599853515625,1862623,0,0
2023-10-20 12:30:00-04:00,326.8800048828125,328.760009765625,326.8699951171875,328.2250061035156,2208042,0,0
2023-10-20 13:30:00-04:00,328.2799987792969,328.739990234375,326.8999938964844,327.1099853515625,1388268,0,0
2023-10-20 14:30:00-04:00,327.0799865722656,327.9739990234375,326.760009765625,327.1600036621094,1621417,0,0
2023-10-20 15:30:00-04:00,327.1650085449219,327.69000244140625,326.3739929199219,326.6724853515625,3214583,0,0
2023-10-20 16:00:00-04:00,326.675,335.735,326.17,326.91,0,0,0
2023-10-20 17:00:00-04:00,326.94,327.5,308.84567,327.07,0,0,0
2023-10-20 18:00:00-04:00,327.1,327.1,326.9,327.05,0,0,0
2023-10-20 19:00:00-04:00,326.9,327.05,326.84,327.05,0,0,0
