,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-20 04:00:00-04:00,217.88,218.94,216.93,218.75,0,0,0
2023-10-20 05:00:00-04:00,218.76,221.19,218.52,219.61,0,0,0
2023-10-20 06:00:00-04:00,219.56,220.47,218.81,218.94,0,0,0
2023-10-20 07:00:00-04:00,218.95,219.18,217.76,217.95,0,0,0
2023-10-20 08:00:00-04:00,217.95,221.1638,216.9315,217.81,0,0,0
2023-10-20 09:00:00-04:00,217.81,217.98,216.3,216.72,0,0,0
2023-10-20 09:30:00-04:00,217.00999450683594,218.860595703125,214.0904998779297,215.16940307617188,39485045,0,0
2023-10-20 10:30:00-04:00,215.152099609375,215.83999633789062,211.32000732421875,211.639892578125,22488986,0,0
2023-10-20 11:30:00-04:00,211.63999938964844,213.39999389648438,210.4199981689453,212.4799041748047,20913419,0,0
2023-10-20 12:30:00-04:00,212.47999572753906,215.75,212.4300994873047,215.3520050048828,16420699,0,0
2023-10-20 13:30:00-04:00,215.3800048828125,215.72000122070312,211.72000122070312,211.91000366210938,13166571,0,0
2023-10-20 14:30:00-04:00,211.8800048828125,213.47999572753906,211.33999633789062,212.81919860839844,12440417,0,0
2023-10-20 15:30:00-04:00,212.80999755859375,213.3199005126953,211.65499877929688,211.92999267578125,9524762,0,0
2023-10-20 16:00:00-04:00,212.12,226.95,211.55,212.06,0,0,0
2023-10-20 17:00:00-04:00,212.06,212.5,201.90257,212.47,0,0,0
2023-10-20 18:00:00-04:00,212.465,212.59,212.06,212.325,0,0,0
2023-10-20 19:00:00-04:00,212.35,212.8,212.05,212.7505,0,0,0
