,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-10-20 04:00:00-04:00,174.95,175.12,174.5,175.06,0,0,0
2023-10-20 05:00:00-04:00,175.08,175.32,174.72,174.72,0,0,0
2023-10-20 06:00:00-04:00,174.73,174.97,174.68,174.68,0,0,0
2023-10-20 07:00:00-04:00,174.77,175.11,174.64,174.99,0,0,0
2023-10-20 08:00:00-04:00,174.99,175.28,174.49,174.66,0,0,0
2023-10-20 09:00:00-04:00,174.7,174.87,174.61,174.68,0,0,0
2023-10-20 09:30:00-04:00,175.30999755859375,175.4199981689453,174.07000732421875,174.24000549316406,13576409,0,0
2023-10-20 10:30:00-04:00,174.24000549316406,174.25999450683594,172.63999938964844,172.86990356445312,9848621,0,0
2023-10-20 11:30:00-04:00,172.8800048828125,173.83999633789062,172.6699981689453,173.55999755859375,6364462,0,0
2023-10-20 12:30:00-04:00,173.57000732421875,174.72000122070312,173.55999755859375,174.17999267578125,6019902,0,0
2023-10-20 13:30:00-04:00,174.18499755859375,174.38999938964844,173.4600067138672,173.5800018310547,4406928,0,0
2023-10-20 14:30:00-04:00,173.55999755859375,173.86000061035156,173.125,173.3800048828125,5284310,0,0
2023-10-20 15:30:00-04:00,173.3699951171875,173.49000549316406,172.8000030517578,172.83999633789062,6774830,0,0
2023-10-20 16:00:00-04:00,172.84,182.26,172.83,172.95,0,0,0
2023-10-20 17:00:00-04:00,172.9406,175.2792,164.05757,172.865,0,0,0
2023-10-20 18:00:00-04:00,172.86,172.88,172.69,172.71,0,0,0
2023-10-20 19:00:00-04:00,172.75,172.8,172.61,172.78,0,0,0
